,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,64.61,46.55,30.3,23.19,24.23,25.26,19.88,11.23,5.91,5.64,7.81,10.61,15.42,22.12,26.16,25.25,22.75,21.46,20.99,21.08
2,66.94,59.32,44.38,33.18,30.62,30.38,24.51,14.84,8.26,7.18,9.29,12.9,19.42,28.25,33.54,32.01,27.44,24.07,22.8,23.52
3,55.34,61.29,55.79,45.89,39.93,36.63,29.54,19.37,12.1,10.37,12.59,17.42,25.96,36.36,41.37,37.6,30.45,25.83,24.91,26.18
4,36.46,50.68,57.52,56.28,51.65,45.25,35.26,24.22,17.31,16.18,19.27,25.38,34.96,45.06,47.94,41.32,32.37,27.68,27.15,27.13
5,19.19,33.5,47.9,58.02,61.38,56,42.92,29.76,23.72,25.15,30.4,37.04,45.31,52.71,52.54,43.75,34.23,29.62,27.77,24.36
6,8.11,17.8,32.36,49.58,63.48,65.25,52.95,37.89,32.28,36.97,44.92,50.91,55.59,58.92,56,46.11,36.16,30.01,24.83,18.04
7,2.77,7.74,18.21,35.88,56.69,68.38,63.07,50.18,44.9,50.68,59.44,63.87,65,65,60.14,48.94,36.78,27.02,18.48,10.74
8,0.79,2.92,9.26,23.72,45.91,65.11,70.22,65,61.59,65,70.6,73.01,73.21,72.54,66.12,51.53,34.59,20.87,11.23,5.09
9,0.23,1.22,5.33,17.07,38.25,60.95,74.29,77.83,77.83,77.83,77.83,77.83,79.65,81,73,52.98,30.42,14.37,5.79,1.98
10,0.18,1.08,5.07,16.84,38.57,62.57,78.22,84.84,86.94,85.99,82.7,80.59,83.59,86.94,77.83,53.69,27.65,10.91,3.48,0.92
11,0.55,2.31,8.24,23.18,47.95,72.15,83.98,85.69,86.04,86.94,85.69,83.3,84.61,86.94,78.08,54.73,29.24,12.46,4.54,1.45
12,1.99,6.12,16.17,36.13,64.07,86.22,90.28,82.8,78.45,81.35,85,84.26,82.45,81.64,74.2,55.85,34.64,18.81,9.24,3.96
13,6.17,14.76,30.26,54.23,82.1,99.12,94.73,79.07,70.02,72.64,78.54,79.28,76.88,75.31,69.49,55.73,40,27.4,17.44,9.55
14,15.63,30.06,49.62,73.37,96.77,107.24,96.6,76.35,63.97,63.35,66.47,67.23,68.4,71.01,67.09,54.34,41.77,34.01,27.12,18.63
15,32.4,51.11,69.99,88.43,105.23,110.68,97.09,74.74,59.13,53.3,51.77,52.41,58.87,68.14,67.17,53.2,39.9,35.45,34.18,29.21
16,55.49,73.26,85.79,96.47,108.15,111.74,97.19,72.35,52.3,42.1,38.67,40.54,50.81,65.07,67.43,52.96,37.01,32.21,35.26,36.82
17,79.78,90.36,93.81,98.28,108.25,112.11,95.84,66.48,42.31,31.43,30.09,34.2,45.96,61.94,66.24,52.44,34.83,27.53,30.91,37.68
18,98.52,98.88,94.88,96.84,107.5,110.91,90.68,56.69,31.58,23.75,26.27,32.46,44.51,60.16,64.28,50.58,32.73,23.71,24.8,32.34
19,107.79,99.69,92.27,94.34,105.02,105.7,81.38,45.96,23.45,19.92,25.7,33.28,45.53,60.62,63.31,48.06,29.69,20.45,19.75,24.9
20,108.56,96.4,88.41,89.9,98.19,96.11,71.16,38.03,19.25,18.98,26.72,35.19,47.94,63.07,64.34,46.44,26.18,16.7,15.77,18.76
