,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,68.34,55.43,46.17,44.71,46.78,43.26,30.57,15.82,6.6,3.35,3.33,5.58,10.53,16.2,19.06,19.21,19.46,20.47,20.64,19.22
2,68.78,63.03,52.77,47.95,50.24,50.03,39.53,23.85,11.89,6.13,4.94,7.54,14,21.47,25.49,25.6,24.55,23.26,21.22,19.08
3,57.36,63.37,59.65,54.06,53.53,53.56,45.89,32.18,19.64,11.83,9.17,11.94,19.79,28.63,32.83,31.49,27.76,23.94,21.07,19.59
4,38.72,52.88,59.97,60.54,59.45,56.76,49.02,38.09,28.16,20.95,17.7,20.16,28.28,37.03,39.7,35.34,28.65,23.82,21.64,20.28
5,21.03,35.82,50.44,61.1,65.83,62.4,51.8,41.24,35.32,32.36,30.96,32.98,39.44,45.59,44.59,36.74,28.7,24.49,22.41,19.11
6,9.2,19.64,34.91,52.72,66.98,68.79,57.37,44.98,41.3,43.83,46.8,49.25,52.42,53.32,47.51,37.48,29.7,25.4,21.13,15.05
7,3.25,8.83,20.22,38.95,60.24,71.14,65,53.08,49.23,54.34,61.25,65,65,60.59,51.11,40,31.23,24.14,16.7,9.5
8,0.95,3.43,10.54,26.25,49.33,67.78,71.08,65,61.65,65,71.18,75.02,74.52,69.15,58.44,44.57,31.13,19.69,10.7,4.75
9,0.28,1.45,6.11,18.95,41.05,62.9,73.99,76.18,76.18,76.18,76.31,77.52,80.01,79.22,68.62,49.19,29.04,14.3,5.87,1.97
10,0.21,1.25,5.67,18.26,40.31,62.75,76.18,82.8,86.21,84.34,78.66,76.96,82.82,86.8,76.18,52.24,27.83,11.77,4.04,1.13
11,0.63,2.55,8.8,24.01,48.17,70.33,80.93,84.46,86.49,84.95,80.22,78.94,84.09,86.94,76.18,53.45,30.39,14.54,5.99,2.1
12,2.19,6.4,16.32,35.79,62.84,83.91,88.11,82.34,78.31,78.62,80.59,82.15,82.8,79.89,69.35,52.68,35.8,22.11,12.07,5.55
13,6.41,14.6,29.18,52.54,80.95,98.64,94.09,78.18,68.86,70.71,76.59,79.05,76.91,71.14,61.38,49.91,40,31.06,21.52,12.47
14,15.39,28.54,47.03,71.87,98.03,109.21,96.45,75.35,64.37,63.83,65.24,65.45,66.13,64.88,57.24,46.73,40.17,36.81,31.44,22.65
15,30.65,47.92,67.56,89.6,109.44,113.75,97.65,76.64,63.51,55.1,47.71,45.91,52.89,60.3,56.89,45.42,37.65,37.1,37.55,33.23
16,51.9,70.21,86.26,100.91,113.83,116.08,101.54,79.45,59.31,41.86,29.45,28.61,40.82,54.95,56.54,45.87,35.7,33.9,37.64,39.7
17,76.34,90.48,97.85,104.4,115.65,121.07,106.27,76.86,47.82,26.55,15.74,17.99,32.49,48.82,53.38,45.3,35.16,31.03,33.83,39.64
18,98.57,102.93,100.79,104.97,120.31,126.95,104.84,65.47,32.41,14.02,8.14,13.4,28.39,43.94,48.23,41.64,33.67,29.65,30.2,35.25
19,112.18,105.84,100.46,108.57,125.89,126.09,93.76,49.54,19.28,6.62,5.02,12.23,27.46,41.76,43.81,35.95,29.26,27.55,28.22,30.93
20,115.32,105.13,103.38,113.08,124,114.66,77.77,36.12,11.54,3.41,4.14,12.46,28.29,42.11,41.87,30.92,22.87,22.69,25.75,28.41
