,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,88.38,80.82,66.92,50.62,36.43,25.57,16.92,10.45,6.79,6.17,8.44,12.2,17.21,24.5,29.98,28.35,23.01,20.48,22.12,25.69
2,81.08,80.82,74.34,62.88,49.44,36.48,25.15,16.54,11.14,9.23,11.16,15.74,22.2,30.61,35.86,32.93,26.69,24.27,25.81,28.07
3,69.49,74.37,74.38,69.54,60.41,48.1,35.02,24.43,17.71,15.03,16.88,22.03,28.96,36.95,41.03,37.08,30.53,27.67,27.83,27.99
4,56.03,64.21,68.74,69.69,66.44,57.86,45.36,33.75,26.51,24.3,26.71,31.42,36.65,42.7,45.68,41.29,33.94,29.45,27.53,25.51
5,42.4,52.54,59.97,64.9,66.81,63.42,54.34,44.06,37.65,36.81,39.89,42.9,44.86,48.53,50.6,45.18,35.82,29.06,25.05,20.94
6,29.74,40.68,50,57.54,63.07,64.49,60.68,54.75,50.97,51.08,53.57,54.57,54.11,55.89,56.08,47.98,35.78,26.71,20.7,15.01
7,18.9,29.4,39.88,49.45,57.72,63.18,65,65,64.69,64.52,65,65,64.41,65,62.07,50,34.41,22.81,15.11,9.12
8,10.55,19.33,30.1,41.72,53.16,62.71,69.39,73.82,75.54,74.57,73.63,73.63,73.85,74.11,68.7,52.58,32.8,18.27,9.69,4.66
9,5.05,11.36,21.45,35.22,51.09,65.36,74.99,80.01,81.26,80.38,80.01,80.01,80.06,80.87,75.38,56.53,32.49,15.05,6.1,2.2
10,2.26,6.57,15.79,31.6,52.1,70.38,80.39,83.06,82.8,82.8,83.75,83.49,82.66,84.09,80.01,61,34.98,15.57,5.72,1.77
11,1.89,6.03,15.65,32.89,55.22,74.08,82.8,83.79,82.83,82.9,84.09,83.9,82.8,84.09,81,64.11,40,20.8,9.51,3.75
12,4.33,10.81,22.43,39.31,58.33,73.35,80.77,82.8,82.39,81.48,81.89,82.05,81.22,82.13,79.29,64.85,44.9,28.79,17.38,9.1
13,11,21.4,34.42,47.8,59.84,69.09,75.06,78.69,79.83,79.2,79.32,79.2,78.34,79.69,77.48,64.09,47.06,35.41,26.98,18.12
14,23.14,36.03,46.9,54.36,60.08,64.54,67.29,69.98,73.12,75.67,77.38,76.81,75.62,78.22,77.31,63.62,46.44,37.56,34.08,28.59
15,39.34,50.21,55.48,57.74,60.18,61.07,58.93,58.17,62.14,68.78,74.46,75.84,75.44,79.2,79.21,64.51,45.06,35.68,35.65,36
16,54.91,59.65,59.45,59.06,59.76,57.58,51.28,46.8,48.94,57.16,68,75.4,78.79,83.83,83.48,67,44.7,32.69,32.53,37.07
17,65.23,63.85,60.64,58.66,57.43,53.33,45.18,37.81,36.2,42.9,57.52,72.72,83.35,91.83,90.96,71.67,46.1,30.97,28.23,32.85
18,69.71,64.92,59.79,55.72,53.15,48.86,40.14,30.65,25.95,30.33,45.71,66,84.61,100.07,101.5,79.67,50.04,31.52,25.64,27.41
19,70.72,63.71,56.14,50.55,48.2,44.39,35.04,24.5,19.01,22.33,36.33,56.9,80.04,103.73,111.92,90.96,57.74,35.13,25.89,24.15
20,69.22,59.49,50.11,44.69,43.18,39.35,29.62,19.57,15.23,18.84,31.25,49.11,71.71,100.34,117.03,102,69.05,43.02,29.79,24.36
